title,link,cited_number,cited_papers_link,related_papers_link,snippet,versions_number,all_versions_link,paper_id
A commentary of GPT-3 in MIT Technology Review 2021,https://www.sciencedirect.com/science/article/pii/S2667325821002193,62,"https://scholar.google.com/scholar?cites=11190710802622160824&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:uJ9rHi9kTZsJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… setting, GPT-1 still has some generalization ability. These results have shown the power of GPT … Based on GPT-1, GPT-2 included five minor improvements to the model structure, added …",no_versions_number,no_all_versions_link,foUzmiv9
"Exploring transformers in natural language generation: Gpt, bert, and xlnet",https://arxiv.org/abs/2102.08036,64,"https://scholar.google.com/scholar?cites=9651190167226520976&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:kJVHqVLq74UJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We analyze the implications of three key Transformerbased models—GPT-3, BERT, and XLNet… models, but their focus on Transformers is limited and does not include GPT-3 or XLNet. …",4,"https://scholar.google.com/scholar?cluster=9651190167226520976&hl=en&as_sdt=0,5",Z4jbEzKg
How good are gpt models at machine translation? a comprehensive evaluation,https://arxiv.org/abs/2302.09210,104,"https://scholar.google.com/scholar?cites=5392473655117633074&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:MlbwATjq1UoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Our results show that GPT models achieve very competitive … We also show that hybrid approaches, which combine GPT … understand the characteristics of GPT translations. We hope that …",2,"https://scholar.google.com/scholar?cluster=5392473655117633074&hl=en&as_sdt=0,5",MPbxYDZn
An empirical study of gpt-3 for few-shot knowledge-based vqa,https://ojs.aaai.org/index.php/AAAI/article/view/20215,194,"https://scholar.google.com/scholar?cites=1053162203748608380&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:fKlNxXGVnQ4J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… (b) Alternatively, PICa directly prompts GPT-3 to jointly … descriptions that GPT-3 can understand, and adapt GPT-3 to … tuning GPT-3, we convert images into text sequences that GPT3 …",6,"https://scholar.google.com/scholar?cluster=1053162203748608380&hl=en&as_sdt=0,5",NcFw1K2z
Gpt-neox-20b: An open-source autoregressive language model,https://arxiv.org/abs/2204.06745,321,"https://scholar.google.com/scholar?cites=8541892935019721823&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:X_REFV7minYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… In studying GPT-NeoX-20B, we find several noteworthy phenomena at odds with the … to GPT-3 and doesn’t apply to either GPT-NeoX-20B or FairSeq models. Finally, we find that GPT-…",6,"https://scholar.google.com/scholar?cluster=8541892935019721823&hl=en&as_sdt=0,5",gdh2wQOM
Patent claim generation by fine-tuning OpenAI GPT-2,https://www.sciencedirect.com/science/article/pii/S0172219019300766,127,"https://scholar.google.com/scholar?cites=9987302592679115580&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:PPv5BMsGmooJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… on fine-tuning an OpenAI GPT-2 pre-trained model for generating patent claims. GPT-2 has … patent claims by machines and being the first to apply GPT-2 to patent claim generation, (2) …",8,"https://scholar.google.com/scholar?cluster=9987302592679115580&hl=en&as_sdt=0,5",QIAMWtEg
The internet as a GPT: factor market implications,https://books.google.com/books?hl=en&lr=&id=TSSePifW9Y4C&oi=fnd&pg=PA145&dq=gpt&ots=FDSYu6As1v&sig=_44PiOO6o7aKzOo1eO9MADriw0Q,150,"https://scholar.google.com/scholar?cites=8076087099405202638&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:znQpj20GFHAJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",The concept of a general purpose technology is subject to a variety of interpretations as discussed by Lipsey et al. in chapter 2. The original analytical models of Bresnahan and …,3,"https://scholar.google.com/scholar?cluster=8076087099405202638&hl=en&as_sdt=0,5",qncsEbZv
"Adapting GPT, GPT-2 and BERT language models for speech recognition",https://ieeexplore.ieee.org/abstract/document/9688232/,30,"https://scholar.google.com/scholar?cites=15567002245299744043&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:K63MiBAaCdgJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… In this paper, we present results using fine-tuned GPT, GPT-2, and … GPT and GPT-2 that are fine-tuned on in-domain data. The WERs obtained by combining the fine-tuned GPT and GPT…",3,"https://scholar.google.com/scholar?cluster=15567002245299744043&hl=en&as_sdt=0,5",UjzKyW6v
Is GPT-3 text indistinguishable from human text? SCARECROW: A framework for scrutinizing machine text,https://arxiv.org/abs/2107.01294,102,"https://scholar.google.com/scholar?cites=12954889821320210284&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:bGcdkKcDybMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… As such, our results cover three increasing model sizes (GPT-2 Small, XL, and GPT-3 (… For GPT-3, we also study a variety of decoding configurations (Figure 4). The main quantity we …",4,"https://scholar.google.com/scholar?cluster=12954889821320210284&hl=en&as_sdt=0,5",kAmv4K3h
What gpt knows about who is who,https://arxiv.org/abs/2205.07407,10,"https://scholar.google.com/scholar?cites=984532387100954940&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:PBEFY_3CqQ0J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… POS and Entity Types While the overall performance indicates that GPT models are comparable to a random model, we hypothesize that for some subset of mention pairs, GPT might …",5,"https://scholar.google.com/scholar?cluster=984532387100954940&hl=en&as_sdt=0,5",osb8zQJV
Unleash GPT-2 power for event detection,https://aclanthology.org/2021.acl-long.490/,44,"https://scholar.google.com/scholar?cites=12688992821772622450&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:cho9A75bGLAJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… for the fine-tuning of GPT to differentiate event types and produce high-quality data. To this end, instead of directly generating data for ED, we propose to use GPT-2 to only generate …",3,"https://scholar.google.com/scholar?cluster=12688992821772622450&hl=en&as_sdt=0,5",zut4rqeX
Chatting about ChatGPT: how may AI and GPT impact academia and libraries?,https://www.emerald.com/insight/content/doi/10.1108/LHTN-01-2023-0009/full/html,456,"https://scholar.google.com/scholar?cites=13577275684047251824&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:cGkvlUwsbLwJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","Purpose This paper aims to provide an overview of key definitions related to ChatGPT, a public tool developed by OpenAI, and its underlying technology, Generative Pretrained …",6,"https://scholar.google.com/scholar?cluster=13577275684047251824&hl=en&as_sdt=0,5",M4bQPpeJ
GPT-3: What's it good for?,https://www.cambridge.org/core/journals/natural-language-engineering/article/gpt3-whats-it-good-for/0E05CFE68A7AC8BF794C8ECBE28AA990,358,"https://scholar.google.com/scholar?cites=16865033336684952328&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:CDs6BneiDOoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","GPT-3 made the mainstream media headlines this year, generating far more interest than we’d normally expect of a technical advance in NLP. People are fascinated by its ability to …",6,"https://scholar.google.com/scholar?cluster=16865033336684952328&hl=en&as_sdt=0,5",xv1oJayA
Sparks of artificial general intelligence: Early experiments with gpt-4,https://arxiv.org/abs/2303.12712,1001,"https://scholar.google.com/scholar?cites=8758279725124918951&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:p56TswGpi3kJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… GPT-4’s performance is strikingly close to human-level performance, and often vastly surpasses prior models such as ChatGPT. Given the breadth and depth of GPT… exploration of GPT-4…",2,"https://scholar.google.com/scholar?cluster=8758279725124918951&hl=en&as_sdt=0,5",VbpvHDoK
The radicalization risks of GPT-3 and advanced neural language models,https://arxiv.org/abs/2009.06807,123,"https://scholar.google.com/scholar?cites=6339833648887307230&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:3hv_IB2d-1cJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… radical ideologies, we find that GPT-3 demonstrates significant improvement over its predecessor, GPT-2, in generating extremist texts. We also show GPT-3's strength in generating text …",6,"https://scholar.google.com/scholar?cluster=6339833648887307230&hl=en&as_sdt=0,5",JxE3SMKD
End-to-end neural pipeline for goal-oriented dialogue systems using GPT-2,https://aclanthology.org/2020.acl-main.54/,192,"https://scholar.google.com/scholar?cites=10844797028950981365&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:9brVi3B1gJYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Our system consists of (1) the GPT-2 model finetuned on the delexicalized version of … mentioned before, GPT-2 invokes the query module to interact with the database. However, GPT-2 …",8,"https://scholar.google.com/scholar?cluster=10844797028950981365&hl=en&as_sdt=0,5",XqLTv6Gi
Plagiarism in the age of massive Generative Pre-trained Transformers (GPT-3),https://www.int-res.com/abstracts/esep/v21/p17-23/,152,"https://scholar.google.com/scholar?cites=9246373407972227765&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:tXrNCqC3UYAJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… by the author using GPT-3. These examples illustrate some of the capabilities of GPT-3 in … property of this content and the potential use of GPT-3 to facilitate plagiarism. The goal is to …,7,"https://scholar.google.com/scholar?cluster=9246373407972227765&hl=en&as_sdt=0,5",cuhI4eJz
"Benefits, limits, and risks of GPT-4 as an AI chatbot for medicine",https://www.nejm.org/doi/full/10.1056/NEJMsr2214184,386,"https://scholar.google.com/scholar?cites=13118285778159425940&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:lFlAXWmDDbYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… The interaction shown in Panel C is a new session in which GPT-4 was asked to read and validate the conversation shown in Panels A and B, and in doing so, GPT-4 detected the …",4,"https://scholar.google.com/scholar?cluster=13118285778159425940&hl=en&as_sdt=0,5",Pz6WNnGA
"Revolutionizing radiology with GPT-based models: Current applications, future possibilities and limitations of ChatGPT",https://www.sciencedirect.com/science/article/pii/S221156842300027X,105,"https://scholar.google.com/scholar?cites=2167676707874826244&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:BGjEIHsiFR4J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… of GPT-based … for GPT-based models in the field of radiology at large will be developed, further enhancing the role of technology in the diagnostic process. ChatGPT is a variant of GPT …",3,"https://scholar.google.com/scholar?cluster=2167676707874826244&hl=en&as_sdt=0,5",VWYK7wE8
GPT-too: A language-model-first approach for AMR-to-text generation,https://arxiv.org/abs/2005.09123,84,"https://scholar.google.com/scholar?cites=16418688627409158558&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:ngF4ElHm2uMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We show that it is surprisingly easy to fine-tune GPT-2 to learn AMR graph … Second, to see if GPT-2 is in fact learning from the graph structure, we remove all the edges from the DFS, …",7,"https://scholar.google.com/scholar?cluster=16418688627409158558&hl=en&as_sdt=0,5",PidWAKTM
Using cognitive psychology to understand GPT-3,https://www.pnas.org/doi/abs/10.1073/pnas.2218523120,182,"https://scholar.google.com/scholar?cites=18004910275560800418&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:ogCVY4BK3vkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… model (GPT-3) do experiments from the cognitive psychology literature. We find that GPT-3 can … the cognitive psychology literature to demystify how GPT-3 solves different tasks and use …,15,"https://scholar.google.com/scholar?cluster=18004910275560800418&hl=en&as_sdt=0,5",IEJM70O6
Capabilities of gpt-4 on medical challenge problems,https://arxiv.org/abs/2303.13375,205,"https://scholar.google.com/scholar?cites=10073565711507489046&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:FoH1f6R-zIsJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… GPT-4 on medical challenge problems. To establish strong baselines for comparison, we evaluate GPT-4 against GPT-… -of-the-box” performance numbers for GPT-4. To that end, we use …",7,"https://scholar.google.com/scholar?cluster=10073565711507489046&hl=en&as_sdt=0,5",j8fmnXWc
Curriculum learning: A regularization method for efficient and stable billion-scale gpt model pre-training,https://conglongli.github.io/paper/cl-arxiv.pdf,23,"https://scholar.google.com/scholar?cites=18408936429804558057&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:6ZY_7yWuef8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… autoregressive language models (GPT, GPT-2, GPT-3) on a … Our study on GPT-2 models (117M and 1.5 B parameters) … that curriculum learning enables training GPT-2 models with …",2,"https://scholar.google.com/scholar?cluster=18408936429804558057&hl=en&as_sdt=0,5",T2DV6SrX
Can GPT-3 pass a writer's Turing test?,https://culturalanalytics.org/article/17212.pdf,183,"https://scholar.google.com/scholar?cites=3415466744241349116&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:_GGqcOgsZi8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… Shall we have GPT take a literature class and try its hand at writing… with GPT-2 and more recent samples from GPT-3. … ’ thoughts on GPT-3 as well as apologias by GPT-3 itself.The …,6,"https://scholar.google.com/scholar?cluster=3415466744241349116&hl=en&as_sdt=0,5",e9NHaX1G
Escherichia coli gpt gene provides dominant selection for vaccinia virus open reading frame expression vectors,https://journals.asm.org/doi/abs/10.1128/jvi.62.6.1849-1854.1988,437,"https://scholar.google.com/scholar?cites=2995473822007904957&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:vUrDBpIPkikJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… of developing a coexpression vector similar to that described here for gpt. In summary, gpt selection provides a number of important advantages over previous procedures devised to …",8,"https://scholar.google.com/scholar?cluster=2995473822007904957&hl=en&as_sdt=0,5",KBfoPqjD
Instruction tuning with gpt-4,https://arxiv.org/abs/2304.03277,207,"https://scholar.google.com/scholar?cites=9181878060529717689&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:uZHTyHKVbH8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… instruction-following data generated by GPT-4 leads to superior zero-… GPT-4 to enable a comprehensive evaluation and reward model training. We make our data generated using GPT…,2,"https://scholar.google.com/scholar?cluster=9181878060529717689&hl=en&as_sdt=0,5",I4bWHQD3
Playing games with AIs: the limits of GPT-3 and similar large language models,https://link.springer.com/article/10.1007/s11023-022-09602-0,43,"https://scholar.google.com/scholar?cites=4602087485057000962&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:AuYXTC_m3T8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… as GPT-3, dealing with: firstly, evaluating how well GPT does in … to dismiss GPT’s abilities, we argue against claims that GPT-3 … models like GPT-3, and argue that GPT can competently …",6,"https://scholar.google.com/scholar?cluster=4602087485057000962&hl=en&as_sdt=0,5",LZsu3fSp
Locating and editing factual associations in GPT,https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html,209,"https://scholar.google.com/scholar?cites=6676170860106418721&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:IQp1gAaGplwJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… 2021), but GPT has architectural differences such as … activations within GPT using causal mediation analysis (Pearl… Then to elicit the fact in GPT, we provide a natural language …",5,"https://scholar.google.com/scholar?cluster=6676170860106418721&hl=en&as_sdt=0,5",oGn6fCxE
Learning to answer by learning to ask: Getting the best of gpt-2 and bert worlds,https://arxiv.org/abs/1911.02365,67,"https://scholar.google.com/scholar?cites=10314766209517296714&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:Shx7szdpJY8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… Our Method (BERT) denotes the proposed approach using GPT-2 for question … (GPT-2) denotes the approach employing GPT-2 for question generation as well as the modified GPT-2 …,3,"https://scholar.google.com/scholar?cluster=10314766209517296714&hl=en&as_sdt=0,5",JzRPoBFO
Gender and representation bias in GPT-3 generated stories,https://aclanthology.org/2021.nuse-1.5/,187,"https://scholar.google.com/scholar?cites=17776048154167352109&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:LRtiW501sfYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Our experiments compare GPT-3’s stories with literature as a … GPT-3 stories, as well as the amount of attention given to characters’ appearances, intellect, and power. We find that GPT-3’…",3,"https://scholar.google.com/scholar?cluster=17776048154167352109&hl=en&as_sdt=0,5",tHDCeoMv
UBAR: Towards fully end-to-end task-oriented dialog system with GPT-2,https://ojs.aaai.org/index.php/AAAI/article/view/17674,139,"https://scholar.google.com/scholar?cites=69322595026228933&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:xVZya4hI9gAJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","This paper presents our task-oriented dialog system UBAR which models task-oriented dialogs on a dialog session level. Specifically, UBAR is acquired by fine-tuning the large pre-…",6,"https://scholar.google.com/scholar?cluster=69322595026228933&hl=en&as_sdt=0,5",Ok0HxK9r
A complete survey on generative ai (aigc): Is chatgpt from gpt-4 to gpt-5 all you need?,https://arxiv.org/abs/2303.11717,72,"https://scholar.google.com/scholar?cites=10162538139609691591&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:x3XLM5iWCI0J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… model GPT-4, is just a tool out of numerous AIGC tasks. Impressed by the capability of the ChatGPT, many people are wondering about its limits: can GPT-5 (or other future GPT variants…",3,"https://scholar.google.com/scholar?cluster=10162538139609691591&hl=en&as_sdt=0,5",gWjmb8FE
The dawn of lmms: Preliminary explorations with gpt-4v (ision),https://www.stableaiprompts.com/wp-content/uploads/2023/10/Chatgpt-Updates.pdf,42,"https://scholar.google.com/scholar?cites=15832597276306837362&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… In our approach to exploring GPT-4V, we curate and organize a collection of carefully designed … prompting GPT-4V, aiming to provide a comprehensive overview of how we will use GPT-…",3,"https://scholar.google.com/scholar?cluster=15832597276306837362&hl=en&as_sdt=0,5",XheE7xwM
News summarization and evaluation in the era of gpt-3,https://arxiv.org/abs/2209.12356,131,"https://scholar.google.com/scholar?cites=3029275664563703922&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:chAOySomCioJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… with models like GPT-3 has led to a … GPT-3 compares against finetuned models trained on large summarization datasets. We show that not only do humans overwhelmingly prefer GPT-…,2,"https://scholar.google.com/scholar?cluster=3029275664563703922&hl=en&as_sdt=0,5",YJOgAFjT
Pointclip v2: Prompting clip and gpt for powerful 3d open-world learning,http://openaccess.thecvf.com/content/ICCV2023/html/Zhu_PointCLIP_V2_Prompting_CLIP_and_GPT_for_Powerful_3D_Open-world_ICCV_2023_paper.html,9,"https://scholar.google.com/scholar?cites=11532369805109504278&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… In this paper, we first collaborate CLIP and GPT to be a unified 3D open-world learner, named … For the textual end, we prompt the GPT model to generate 3D-specific text as the input of …",no_versions_number,no_all_versions_link,UCk2B1Oi
Want to reduce labeling cost? GPT-3 can help,https://arxiv.org/abs/2108.13487,97,"https://scholar.google.com/scholar?cites=8488120420911834111&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:_2MwA43cy3UJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… models trained with GPT-3 labels can achieve better performance than raw GPT-3. … GPT-3 labeling. Finally, we propose active labeling to leverage the advantages from human and GPT-…",4,"https://scholar.google.com/scholar?cluster=8488120420911834111&hl=en&as_sdt=0,5",L4NTkOCp
Bailando: 3d dance generation by actor-critic gpt with choreographic memory,http://openaccess.thecvf.com/content/CVPR2022/html/Siyao_Bailando_3D_Dance_Generation_by_Actor-Critic_GPT_With_Choreographic_Memory_CVPR_2022_paper.html,71,"https://scholar.google.com/scholar?cites=6112913323950957761&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:wWTZ0Edu1VQJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Then, we introduce a motion GPT to translate the music feature and source pose codes to … beats, we propose actor critic learning on the motion GPT with our newly designed beat-align …",7,"https://scholar.google.com/scholar?cluster=6112913323950957761&hl=en&as_sdt=0,5",r24jEWSu
AI as the next GPT: a Political-Economy Perspective,https://www.nber.org/papers/w24245,192,"https://scholar.google.com/scholar?cites=7849350213637097209&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:-cZ5gW5-7mwJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Yet, as many occupations will indeed vanish with the advent of AI as the new General Purpose Technology (GPT), we should search for ways to ameliorate the detrimental effects of AI, …",10,"https://scholar.google.com/scholar?cluster=7849350213637097209&hl=en&as_sdt=0,5",kfjQC4Gx
